id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
230525,转生成为魔物,"['文字', '竖屏', '放置', '单机', '休闲']","[{'type': 'author', 'name': '果然狗工作室'}]",,,4683,"{'1': 527, '2': 210, '3': 258, '4': 323, '5': 3706}",[]
152069,7天,"['文字', '剧情', '多结局', '冒险']","[{'type': 'developer', 'name': '深圳酷猫'}]",,,2458,"{'1': 27, '2': 24, '3': 85, '4': 217, '5': 1074}",[]
180918,人生模拟器：中国式人生,"['模拟', '文字', '单机', '养成', '竖屏']","[{'type': 'author', 'name': 'kiwigames'}]",,,14208,"{'1': 2413, '2': 1797, '3': 2007, '4': 997, '5': 1251}",[]
186039,无极仙途,"['修仙', '放置', '文字', '养成', '竖屏', '经营', '角色扮演', '国风']","[{'type': 'developer', 'name': '风之力游戏'}]",,,40128,"{'1': 1349, '2': 1099, '3': 1612, '4': 6899, '5': 24073}",[]
226797,修仙家族模拟器,"['修仙', '文字', '模拟']","[{'type': 'author', 'name': '一起来修仙工作室'}]",,,12316,"{'1': 738, '2': 314, '3': 849, '4': 1495, '5': 4660}",[]
212140,仙岛大乱斗,"['卡牌', '国风', '文字', '经营', '冒险', '养成', '竖屏', '修仙', '放置', '角色扮演']","[{'type': 'author', 'name': '小火山科技'}]",,,0,"{'1': 109, '2': 93, '3': 76, '4': 26, '5': 133}",[]
80109,你了解自己吗,"['心理学', '文字', '单机']","[{'type': 'author', 'name': '晓风游戏'}]",,,0,"{'1': 1081, '2': 703, '3': 2191, '4': 5040, '5': 11412}",[]
214010,永恒修仙,"['养成', '国风', '水墨', '修仙', '古风', '放置', '文字', '冒险', '竖屏', '仙侠', '角色扮演']","[{'type': 'developer', 'name': '修仙辅导员'}]",,,2506,"{'1': 216, '2': 78, '3': 74, '4': 112, '5': 690}",[]
229517,傲剑苍穹,"['放置', '修仙', '单机', '文字', '养成', '竖屏', '冒险', '角色扮演', '回合制', 'MUD', '收集', '策略', '仙侠']","[{'type': 'developer', 'name': '广州千果互动传媒有限公司'}]",,,12567,"{'1': 680, '2': 200, '3': 112, '4': 237, '5': 2028}",[]
135341,仗剑天涯,"['文字', 'MUD', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '北京掌握互娱科技有限公司'}]",,,0,"{'1': 254, '2': 73, '3': 109, '4': 132, '5': 395}",[]
225407,刀剑江湖录,"['养成', '文字', '单机', '竖屏', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '咖啡沫工作室'}]",,,0,"{'1': 35, '2': 4, '3': 21, '4': 39, '5': 121}",[]
208351,剑墨江湖,"['文字', '武侠', '放置', '竖屏', '国风', '古风', '模拟', '单机', 'MUD', '角色扮演']","[{'type': 'developer', 'name': '剑侠客'}]",,,0,"{'1': 152, '2': 55, '3': 57, '4': 158, '5': 570}",[]
159465,一念逍遥,"['文字', '养成', '修仙', '竖屏', '角色扮演', '多人联机', '武侠', '放置', '国风']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '星云工作室'}]",,,24942,"{'1': 8372, '2': 3864, '3': 7168, '4': 6985, '5': 13312}",[]
215953,你已经猜到结局了吗,"['文字', '单机', '解谜', '益智', '需家长陪同', '二次元']","[{'type': 'developer', 'name': '橘音游戏'}]",,,5095,"{'1': 75, '2': 85, '3': 210, '4': 722, '5': 4176}",[]
232098,渡劫模拟器,['文字'],"[{'type': 'developer', 'name': '蛮荒游戏工作室'}]",,,1748,"{'1': 75, '2': 30, '3': 34, '4': 46, '5': 335}",[]
37121,活下去,"['生存', '丧尸', '单机', '末日', '文字', '剧情', '冒险', 'UP主推荐', '竖屏', '策略', '模拟']","[{'type': 'author', 'name': '黑骑士工作室'}, {'type': 'publisher', 'name': '冰狮游戏'}]",,,112960,"{'1': 600, '2': 252, '3': 799, '4': 1808, '5': 7982}",[]
159209,重建家园,"['多人联机', '生存', '竖屏', '末日', '文字', '养成', '角色扮演']","[{'type': 'author', 'name': '幸存者小分队'}]",,,3970,"{'1': 607, '2': 266, '3': 411, '4': 407, '5': 1621}",[]
224007,冒险日记,"['冒险', '策略', '单机', '文字', '像素']","[{'type': 'author', 'name': '熊兔联盟'}, {'type': 'publisher', 'name': '唤境激励计划'}]",,,0,"{'1': 106, '2': 44, '3': 123, '4': 291, '5': 921}",[]
213627,月影别墅,"['AVG', '吸血鬼', '女性向', '剧情', '文字', '乙女', '恋爱']","[{'type': 'author', 'name': '拉萌游戏工作室'}, {'type': 'publisher', 'name': '冰狮游戏'}]",,,0,"{'1': 137, '2': 154, '3': 384, '4': 1128, '5': 4757}",[]
223774,异世界转生模拟器,"['竖屏', '修仙', '养成', '文字', '模拟']","[{'type': 'developer', 'name': '游戏化学'}]",,,3992,"{'1': 1103, '2': 505, '3': 888, '4': 833, '5': 1740}",[]
213413,我的属性-人类能力测试器,"['单机', '心理学', '文字']","[{'type': 'author', 'name': '熔核工作室'}]",,,9510,"{'1': 288, '2': 148, '3': 554, '4': 2264, '5': 5128}",[]
232119,自由人生模拟,['文字'],"[{'type': 'developer', 'name': 'Kaka Ku Games Inc.'}]",,,1484,"{'1': 125, '2': 57, '3': 125, '4': 135, '5': 348}",[]
236179,转生哥布林杀穿异世界,['文字'],"[{'type': 'developer', 'name': '本分游戏'}]",,,0,"{'1': 7, '2': 6, '3': 10, '4': 12, '5': 18}",[]
233111,一剑江湖,"['放置', '竖屏', '修仙', '文字']","[{'type': 'publisher', 'name': '深圳市数湾科技有限公司'}, {'type': 'author', 'name': '龙之韵工作室'}]",,,0,"{'1': 38, '2': 21, '3': 26, '4': 30, '5': 274}",[]
55307,恋与制作人,"['恋爱', '养成', '乙女', '剧情', '文字']","[{'type': 'developer', 'name': '叠纸游戏'}]",,,69104,"{'1': 4038, '2': 2330, '3': 4230, '4': 3791, '5': 7777}",[]
215972,辰东群侠传,"['放置', '卡牌', '养成', '修仙', '角色扮演', '文字', '竖屏', '冒险', '仙侠']","[{'type': 'author', 'name': '风吟网络'}]",,,0,"{'1': 12, '2': 7, '3': 122, '4': 114, '5': 594}",[]
232480,不一样的修仙宗门2,"['修仙', '养成', '模拟经营', '文字']","[{'type': 'publisher', 'name': 'blingbling工作室'}, {'type': 'author', 'name': '纪石科技'}]",,,0,"{'1': 150, '2': 105, '3': 278, '4': 777, '5': 1838}",[]
234049,黎明风暴,"['怀旧', 'MUD', '竖屏', '养成', '单机', '放置', '文字', '角色扮演']","[{'type': 'developer', 'name': '湖南江豚网络科技有限公司'}]",,,0,"{'1': 124, '2': 37, '3': 32, '4': 16, '5': 406}",[]
231457,混搭修仙,"['文字', '吃鸡', '修仙', '竞技']","[{'type': 'developer', 'name': '广州游龙互娱网络科技有限公司'}]",,,3,"{'1': 132, '2': 84, '3': 258, '4': 790, '5': 2256}",[]
185896,少年的人间奇遇,"['二次元', '美少女', '角色扮演', '单机', '冒险', '休闲', '动漫', 'Steam移植', '多结局', '移植', '文字']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': 'Spacelight Studio'}]",￥18,￥18,202,"{'1': 114, '2': 64, '3': 145, '4': 319, '5': 5236}",[]
192865,重返现场,"['剧情', '推理', '文字']","[{'type': 'author', 'name': '欢乐'}, {'type': 'publisher', 'name': 'GameA'}]",,,852,"{'1': 51, '2': 56, '3': 73, '4': 99, '5': 125}",[]
229423,梗考试,"['休闲', '文字', '益智']","[{'type': 'author', 'name': 'RikiGame'}]",,,0,"{'1': 212, '2': 74, '3': 115, '4': 103, '5': 134}",[]
63236,我在七年后等你,"['爱情', '治愈', '像素', '催泪', '剧情', '文字', '单机', '感动', 'AVG', 'UP主推荐', '致郁', '悬疑', '穿越']","[{'type': 'publisher', 'name': '扑家工作室'}, {'type': 'author', 'name': 'hiraya-space'}]",,,74192,"{'1': 145, '2': 163, '3': 491, '4': 1268, '5': 34063}",[]
208118,第五件遗留物,"['文字', 'AVG', '解谜', '移植', 'Steam移植', '冒险']","[{'type': 'author', 'name': '狼烟游戏studio'}, {'type': 'publisher', 'name': 'NiceBoat'}]",,,0,"{'1': 74, '2': 69, '3': 209, '4': 619, '5': 4038}",[]
212199,太公传承,"['单机', '修仙', '竖屏', '文字', '休闲']","[{'type': 'author', 'name': '猫咕网络'}]",,,13836,"{'1': 225, '2': 134, '3': 417, '4': 921, '5': 1624}",[]
215873,带着系统在洪荒修仙,"['单机', '养成', '放置', '修仙', '文字', 'MUD']","[{'type': 'author', 'name': '至高神'}, {'type': 'publisher', 'name': '没有发行商'}]",,,0,"{'1': 332, '2': 107, '3': 177, '4': 184, '5': 610}",[]
195464,他人世界末,"['GalGame', '剧情', '恋爱', 'AVG', '美少女', '催泪', 'Steam移植', '单机', '文字']","[{'type': 'publisher', 'name': '昆布科技'}, {'type': 'author', 'name': '8A Studio'}]",,,1,"{'1': 98, '2': 68, '3': 232, '4': 631, '5': 4759}",[]
207372,女娲捏人,"['竖屏', '文字', 'Roguelike', '角色扮演', '单机']","[{'type': 'developer', 'name': '李鼎天'}]",,,5866,"{'1': 32, '2': 26, '3': 138, '4': 511, '5': 1598}",[]
